nome,descricao,preco,quantidadeestoque,categoria,imagemurl,codigobarras,status
Smartphone XYZ,Smartphone de ultima geracao com camera de alta resolucao e bateria de longa duracao,2999.99,50,Eletronicos,https://exemplo.com/imagens/smartphone-xyz.jpg,9876543210987,DISPONIVEL
Notebook Gamer,Notebook de alta performance para jogos e trabalho,4999.99,15,Eletronicos,https://exemplo.com/imagens/notebook-gamer.jpg,1234567890123,DISPONIVEL
Fones de Ouvido Bluetooth,Fones de ouvido sem fio com cancelamento de ruído ativo e qualidade de som superior,799.99,120,Acessorios,https://exemplo.com/imagens/fones-bluetooth.jpg,1122334455667,DISPONIVEL
Tablet ABC,Tablet leve e portatil com tela de alta resolucao e otimo desempenho,1999.99,30,Eletronicos,https://exemplo.com/imagens/tablet-abc.jpg,2233445566778,DISPONIVEL
Camera Digital,Alta qualidade de imagem com recursos avancados de fotografia,1499.99,25,Eletronicos,https://exemplo.com/imagens/camera-digital.jpg,3344556677889,DISPONIVEL
Smartwatch 2000,Relogio inteligente com monitoramento de atividades físicas e notificacoes,999.99,45,Acessorios,https://exemplo.com/imagens/smartwatch-2000.jpg,4455667788990,DISPONIVEL
Mouse Gamer,Mouse ergonomico com alta precisao e iluminacao RGB,299.99,200,Acessorios,https://exemplo.com/imagens/mouse-gamer.jpg,5566778899001,DISPONIVEL
Teclado Mecanico,Teclado mecanico com switches de alta durabilidade e iluminacao RGB,399.99,150,Acessorios,https://exemplo.com/imagens/teclado-mecanico.jpg,6677889900112,DISPONIVEL
Caixa de Som Bluetooth,Som potente com conexao sem fio e bateria de longa duracao,249.99,80,Eletronicos,https://exemplo.com/imagens/caixa-som-bluetooth.jpg,7788990011223,DISPONIVEL
HD Externo,Armazenamento portatil de alta capacidade com conexao USB 3.0,599.99,60,Armazenamento,https://exemplo.com/imagens/hd-externo.jpg,8899001122334,DISPONIVEL
Impressora Multifuncional,Impressora com scanner e copiadora integrada,449.99,35,Eletronicos,https://exemplo.com/imagens/impressora-multifuncional.jpg,9900112233445,DISPONIVEL
Monitor 4K,Monitor ultra HD com alta resolucao e cores vibrantes,1299.99,40,Eletronicos,https://exemplo.com/imagens/monitor-4k.jpg,1100223344556,DISPONIVEL
Headset Gamer,Headset com microfone e som surround,349.99,95,Acessorios,https://exemplo.com/imagens/headset-gamer.jpg,2200334455667,DISPONIVEL
Carregador Portatil,Power bank de alta capacidade para recarga rapida,199.99,75,Acessorios,https://exemplo.com/imagens/carregador-portatil.jpg,3300445566778,DISPONIVEL
Projetor LED,Projetor portatil com alta definicao,899.99,20,Eletronicos,https://exemplo.com/imagens/projetor-led.jpg,4400556677889,DISPONIVEL
Camera de Seguranca,Camera de vigilancia com visao noturna,599.99,50,Eletronicos,https://exemplo.com/imagens/camera-seguranca.jpg,5500667788990,DISPONIVEL
Alto-Falante Inteligente,Alto-falante com assistente de voz integrado,299.99,65,Eletronicos,https://exemplo.com/imagens/alto-falante-inteligente.jpg,6600778899001,DISPONIVEL
Drone,Drone com camera 4K e controle remoto,1499.99,10,Eletronicos,https://exemplo.com/imagens/drone.jpg,7700889900112,DISPONIVEL
Lampada Inteligente,Lampada LED controlada por app,99.99,100,Iluminacao,https://exemplo.com/imagens/lampada-inteligente.jpg,8800990011223,DISPONIVEL
Caixa de Ferramentas,Kit de ferramentas completo para reparos,299.99,30,Ferramentas,https://exemplo.com/imagens/caixa-ferramentas.jpg,9900112233445,DISPONIVEL
Smartphone ABC,Smartphone com design elegante e desempenho avancado,2499.99,40,Eletronicos,https://exemplo.com/imagens/smartphone-abc.jpg,1100223344556,DISPONIVEL
Console de Videogame,Console de última geracao com suporte a jogos em 4K,3999.99,25,Eletronicos,https://exemplo.com/imagens/console-videogame.jpg,2200334455667,DISPONIVEL
Kindle,Leitor de e-books com tela antirreflexo,499.99,60,Eletronicos,https://exemplo.com/imagens/kindle.jpg,3300445566778,DISPONIVEL
Termometro Digital,Termometro infravermelho para medicoes rapidas,199.99,80,Saúde,https://exemplo.com/imagens/termometro-digital.jpg,4400556677889,DISPONIVEL
Aspirador Robot,Aspirador automatico com sensores de mapeamento,1399.99,15,Eletrodomesticos,https://exemplo.com/imagens/aspirador-robot.jpg,5500667788990,DISPONIVEL
Relogio Classico,Relogio de pulso com design atemporal,299.99,100,Acessorios,https://exemplo.com/imagens/relogio-classico.jpg,6600778899001,DISPONIVEL
Espelho Inteligente,Espelho com tela touch e conectividade Bluetooth,999.99,20,Eletronicos,https://exemplo.com/imagens/espelho-inteligente.jpg,7700889900112,DISPONIVEL
Frigobar,Mini geladeira com design compacto,699.99,10,Eletrodomesticos,https://exemplo.com/imagens/frigobar.jpg,8800990011223,DISPONIVEL
Capacete de Realidade Virtual,Experiência imersiva com sensor de movimento,1599.99,15,Eletronicos,https://exemplo.com/imagens/capacete-vr.jpg,9900112233445,DISPONIVEL
Torradeira,Torradeira com varias configuracoes de tostagem,199.99,50,Eletrodomesticos,https://exemplo.com/imagens/torradeira.jpg,1100223344556,DISPONIVEL
Churrasqueira Eletrica,Churrasqueira compacta para uso interno,399.99,20,Eletrodomesticos,https://exemplo.com/imagens/churrasqueira-eletrica.jpg,2200334455667,DISPONIVEL
Purificador de agua,Dispositivo para purificacao de agua com filtro avancado,499.99,30,Eletrodomesticos,https://exemplo.com/imagens/purificador-agua.jpg,3300445566778,DISPONIVEL
Secador de Cabelo,Secador potente com múltiplas configuracoes de calor,299.99,40,Beleza,https://exemplo.com/imagens/secador-cabelo.jpg,4400556677889,DISPONIVEL
Maquina de Cafe,Prepare cafes deliciosos com esta maquina automatica,899.99,25,Eletrodomesticos,https://exemplo.com/imagens/maquina-cafe.jpg,5500667788990,DISPONIVEL
Batedeira,Batedeira planetaria com varias velocidades,499.99,30,Eletrodomesticos,https://exemplo.com/imagens/batedeira.jpg,6600778899001,DISPONIVEL
Fritadeira Sem oleo,Prepare alimentos mais saudaveis com esta fritadeira,599.99,20,Eletrodomesticos,https://exemplo.com/imagens/fritadeira-sem-oleo.jpg,7700889900112,DISPONIVEL
